ID;up__ID;quantity;product_ID;title;price
58040e66-1dcd-4ffb-ab10-fdce32028b79;7e2f2640-6866-4dcf-8f4d-3027aa831cad;1;201;Company fill quality;77.38
64e718c9-ff99-47f1-8ca3-950c850777d4;7e2f2640-6866-4dcf-8f4d-3027aa831cad;2;202;View letter;81.95
e9641166-e050-4261-bfee-d1e797e6cb7f;7e2f2640-6866-4dcf-8f4d-3027aa831cad;1;203;Black lot possible;47.18
f1b2c3d4-e5f6-47a8-b9c0-d1e2f3a4b5c6;7e2f2640-6866-4dcf-8f4d-3027aa831cad;3;204;Too arrive fine;126.26
a2b3c4d5-e6f7-48a9-b0c1-d2e3f4a5b6c7;7e2f2640-6866-4dcf-8f4d-3027aa831cad;1;205;Heavy gun answer;17.2
b3c4d5e6-f7a8-49b0-c1d2-e3f4a5b6c7d8;7e2f2640-6866-4dcf-8f4d-3027aa831cad;2;206;Crime wife;8.95
c4d5e6f7-a8b9-40c1-d2e3-f4a5b6c7d8e9;7e2f2640-6866-4dcf-8f4d-3027aa831cad;1;207;Share sport;152.03
d5e6f7a8-b9c0-41d2-e3f4-a5b6c7d8e9f0;7e2f2640-6866-4dcf-8f4d-3027aa831cad;2;208;Family run where;121.11
e6f7a8b9-c0d1-42e3-f4a5-b6c7d8e9f0a1;7e2f2640-6866-4dcf-8f4d-3027aa831cad;1;209;Health table type;108.78
f7a8b9c0-d1e2-43f4-a5b6-c7d8e9f0a1b2;7e2f2640-6866-4dcf-8f4d-3027aa831cad;3;210;Who serve full;163.6
a8b9c0d1-e2f3-44a5-b6c7-d8e9f0a1b2c3;64e718c9-ff99-47f1-8ca3-950c850777d4;1;211;Professor democratic;144.61
b9c0d1e2-f3a4-45b6-c7d8-e9f0a1b2c3d4;64e718c9-ff99-47f1-8ca3-950c850777d4;2;212;Political eye population;137.33
c0d1e2f3-a4b5-46c7-d8e9-f0a1b2c3d4e5;64e718c9-ff99-47f1-8ca3-950c850777d4;1;213;Arm;55.0
d1e2f3a4-b5c6-47d8-e9f0-a1b2c3d4e5f6;64e718c9-ff99-47f1-8ca3-950c850777d4;3;214;Sometimes picture;103.08
e2f3a4b5-c6d7-48e9-f0a1-b2c3d4e5f6a7;64e718c9-ff99-47f1-8ca3-950c850777d4;1;215;Daughter between;48.59
f3a4b5c6-d7e8-49f0-a1b2-c3d4e5f6a7b8;64e718c9-ff99-47f1-8ca3-950c850777d4;2;216;Spend attention lead;180.23
a4b5c6d7-e8f9-40a1-b2c3-d4e5f6a7b8c9;64e718c9-ff99-47f1-8ca3-950c850777d4;1;217;Instead over;138.31
b5c6d7e8-f9a0-41b2-c3d4-e5f6a7b8c9d0;64e718c9-ff99-47f1-8ca3-950c850777d4;2;218;Author wear contain;60.75
c6d7e8f9-a0b1-42c3-d4e5-f6a7b8c9d0e1;64e718c9-ff99-47f1-8ca3-950c850777d4;1;219;Take really it;136.76
d7e8f9a0-b1c2-43d4-e5f6-a7b8c9d0e1f2;64e718c9-ff99-47f1-8ca3-950c850777d4;3;220;Watch score entire;56.06
e8f9a0b1-c2d3-44e5-f6a7-b8c9d0e1f2a3;8995d18f-6b8d-4f8c-a953-15dd68bb6d4e;1;221;Ahead team enjoy;139.71
f9a0b1c2-d3e4-45f6-a7b8-c9d0e1f2a3b4;8995d18f-6b8d-4f8c-a953-15dd68bb6d4e;2;222;Yet report;144.37
a0b1c2d3-e4f5-46a7-b8c9-d0e1f2a3b4c5;8995d18f-6b8d-4f8c-a953-15dd68bb6d4e;1;223;Case relate course;97.55
b1c2d3e4-f5a6-47b8-c9d0-e1f2a3b4c5d6;8995d18f-6b8d-4f8c-a953-15dd68bb6d4e;3;224;Tv cultural;92.07
c2d3e4f5-a6b7-48c9-d0e1-f2a3b4c5d6e7;8995d18f-6b8d-4f8c-a953-15dd68bb6d4e;1;225;History everybody first free;22.96
d3e4f5a6-b7c8-49d0-e1f2-a3b4c5d6e7f8;8995d18f-6b8d-4f8c-a953-15dd68bb6d4e;2;226;Name;85.11
e4f5a6b7-c8d9-40e1-f2a3-b4c5d6e7f8a9;8995d18f-6b8d-4f8c-a953-15dd68bb6d4e;1;227;Impact past determine;6.26
